index,smiles,AlogP,Effective
0,Cn1cc(Cl)nc(N2CCC(Oc3ccccc3Cl)CC2)c1=O,3.13,0
1,Cc1cnnc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)n1,3.9,0
2,Cc1cnc(N2CCC(Oc3cc(F)ccc3Cl)CC2)nn1,3.02,0
3,FC(F)(F)c1ccc(Cl)c(OC2CCN(c3nccnn3)C2)c1,3.2,0
4,COc1ccc2ccn(C3CCN(c4ccc(-c5cnn(C)c5)nn4)CC3)c2c1,3.68,0
5,Cn1cc(-c2ccc(N3CCC(n4ccc5cc(Cl)ccc54)CC3)nn2)cn1,4.33,0
6,O=C(NC[C@H](O)c1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,2.92,1
7,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3cccs3)nn2)CC1,3.41,0
8,O=C(NC[C@@H](O)c1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,2.92,1
9,COc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccccc3)nn2)CC1,3.05,0
10,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)cccc4O3)CC2)nn1,2.84,1
11,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(Cl)cccc4O3)CC2)nn1,3.35,0
12,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)ccc(F)c4O3)CC2)nn1,2.98,1
13,O=C(NCc1cccnc1)Nc1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,4.58,0
14,Cn1nc(Cc2cccnc2)nc1-c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,4.64,0
15,COC1CC2(CCN(c3ccc(C(=O)NCC(O)c4ccccc4)nn3)CC2)Oc2ccccc21,3.45,0
16,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2c(F)cccc2O3)nn1,2.93,1
17,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,4.69,0
18,COc1cccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)c1,5.01,0
19,COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(C)(C)C)c3)s2)cc1OCCO,4.66,0
20,COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,4.52,0
21,COc1ccc(C(=O)Nc2ncc(Cc3ccc(Cl)c(Cl)c3)s2)cc1OCCO,4.67,0
22,Cc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,4.57,0
23,O=C(Nc1ncc(C(=O)O)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.72,0
24,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,5.04,0
25,NC(=O)c1cc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)no1,2.84,1
26,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4ccc(C(F)(F)F)cc4)nn3)CC1)CC2,5.33,0
27,CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)s1,5.73,0
28,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)cc2)n1,4.65,0
29,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4ccc(C(F)(F)F)cc4)nn3)CC1)CC2,5.33,0
30,OCc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,3.7,0
31,Cc1cn(-c2ccc(N3CCC(n4ccc5ccccc54)CC3)nn2)cn1,3.77,0
32,CCOC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,3.07,0
33,NC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,2,1
34,Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cccnc1,2.31,1
35,Cc1nc(-n2cnn(Cc3ccc(C(F)(F)F)cc3)c2=O)sc1C(=O)NCc1ccccn1,3.19,0
36,O=C(NCc1cccnc1)c1cc(-n2cnn(Cc3ccc(F)cc3)c2=O)n[nH]1,1.27,1
37,CNC(=O)c1cc(-n2cnn(Cc3ccc(F)cc3)c2=O)n[nH]1,0.3,1
38,O=C(O)Cn1nnc(-c2cnc(-c3cn(Cc4cc(Cl)c(Cl)c(Cl)c4)nn3)s2)n1,3.15,0
39,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(F)ccc3F)CC2)nn1,2.25,1
40,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(F)ccc3C(F)(F)F)CC2)nn1,3.13,0
41,O=C(NCc1ccc(C(F)(F)F)o1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,4,0
42,CC(CNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1)c1ccccc1,3.99,0
43,CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Br)CC1,2.08,1
44,O=Cc1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,2.42,1
45,CCNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,2.36,1
46,O=C(NCCO)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,2.3,1
47,NC(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,2.68,1
48,Cc1c(C(=O)N=C(N)N)ncn1Cc1ccc(Cl)cc1,1.31,1
49,OCc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,2.68,1
50,Fc1ccc2onc(C3CCN(c4ccc(-c5cn[nH]c5)nn4)CC3)c2c1,3.53,0
51,COCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,3.47,0
52,Cn1cc(-c2ccc(N3CCC(n4nnc5ccccc54)CC3)nn2)cn1,2.46,1
53,FC(F)(F)c1ccc(Cl)c(OC2CCN(c3nccnn3)CC2)c1,3.59,0
54,O=C(O)Cn1nnc(-c2cncc(-c3cn(Cc4cc(Br)c(Br)c(Br)c4)nn3)c2)n1,3.41,0
55,O=C(O)Cn1nnc(-c2cnc(N3CC4(CCN(c5cc(F)ccc5Cl)CC4)C3)s2)n1,2.78,1
56,COc1ccc(F)cc1C(=O)N1CCN(c2ccc(C(=O)NCCC3CC3)nn2)CC1,2.12,1
57,N#Cc1ccccc1C(=O)N1CCN(c2ccc(C(=O)NCCC3CC3)nn2)CC1,1.84,1
58,O=C(NCc1cocn1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,2.38,1
59,Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)CO)c1=O,2.44,1
60,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(Br)cccc5O4)CC3)s2)n1,3.01,0
61,CCCCCCCCC1=C(CCCCCCCC(=O)O)C1,6.25,0
62,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CC3)Cc3ccccc3C(=O)O4)s2)n1,1.03,1
63,O=C(O)c1ccc(-c2ccc(N3CCC(Oc4cc(F)ccc4Br)CC3)nn2)nc1,4.19,0
64,O=C(O)c1cncc(-c2ccc(N3CCC(Oc4cc(F)c(F)cc4Br)CC3)nn2)c1,4.33,0
65,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,3.93,0
66,O=C(O)c1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,4.01,0
67,CCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,3.53,0
68,OCCc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,2.37,1
69,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,3.05,0
70,COc1ccc(/C=C/C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1,5.41,0
71,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,3.93,0
72,CNC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,2.26,1
73,Cc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,4.51,0
74,OCn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,3.23,0
75,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4ccc(C(F)(F)F)cc4)nn3)CC1)CC2,5.33,0
76,Cc1cnnc(N2CCC(Oc3cc(F)ccc3Cl)CC2)n1,3.02,0
77,Cc1cnnc(N2CCC(Oc3ccccc3Cl)CC2)n1,2.88,1
78,FC(F)(F)c1ccccc1NC1CCN(c2nccnn2)CC1,2.97,1
79,O=C(NCc1ccc(Cl)s1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4C(F)(F)F)cc3)nc2c1,7.69,0
80,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(Cl)cccc5O4)CC3)no2)n1,2.43,1
81,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CC3)COc3ccccc34)s2)n1,1.81,1
82,O=C(O)Cn1nnc(-c2cnc(N3CCC4(C=Cc5ccccc54)CC3)s2)n1,2.45,1
83,Cc1cc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)ccn1,4.51,0
84,Cc1csc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,5.18,0
85,Fc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,4.45,0
86,COc1ncc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,3.11,0
87,Cn1cc(-c2ccc(N3CCC(n4ncc5ccc(F)cc54)CC3)nn2)cn1,3.21,0
88,CCOCCn1cc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,4.04,0
89,Cc1cn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,3.64,0
90,OCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,2.82,1
91,Cc1cn(-c2ccc(N3CCC(N4CCc5ccccc54)CC3)nn2)cn1,3,1
92,Cc1nsc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)n1,3.97,0
93,Cc1nsc(-c2ccc(N3CCC(N4CCc5ccccc54)CC3)nn2)n1,3.34,0
94,Fc1ccc2onc(C3CCN(c4ccc(-c5cccnc5)nn4)CC3)c2c1,4.2,0
95,OCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,2.5,1
96,CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)cc1,5.13,0
97,O=C(Nc1ncc(CCCO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.95,0
98,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)s2)n1,5.4,0
99,Cc1csc(NC(=O)c2ccc(CNc3ccccc3)cc2)n1,4.32,0
100,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cc3ccccc3)cc2)n1,5.23,0
101,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)s1,4.58,0
102,CCCCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,6.6,0
103,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CO)cs2)cc1,4.84,0
104,COc1ncc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,3.61,0
105,Cn1cc(-c2ccc(N3CCC(N4CCc5c(Cl)cc(Cl)cc54)CC3)nn2)cn1,4.22,0
106,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4cn[nH]c4)nn3)CC1)CC2,3.04,0
107,Cn1cc(-c2ccc(N3CCC(n4ncc5c(C(F)(F)F)cccc54)CC3)nn2)cn1,4.09,0
108,OCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,2.82,1
109,Cn1cc(-c2ccc(N3CCC(N4CCc5c(Cl)cccc54)CC3)nn2)cn1,3.56,0
110,OCc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,2.68,1
111,Cc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cc1,5.12,0
112,COc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)nc1,4.21,0
113,Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,3.93,0
114,Cn1cc(-c2ccc(N3CCC(n4ncc5c(F)cccc54)CC3)nn2)cn1,3.21,0
115,Cc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,3.64,0
116,Cn1cc(Cl)nc(N2CCC(Oc3cc(F)ccc3Cl)CC2)c1=O,3.27,0
117,Cc1nnc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)nc1C,4.21,0
118,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,3.68,0
119,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,4.3,0
120,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
121,COc1ccc2nc(NC(=O)c3cccnc3)sc2c1,2.95,1
122,O=C(Nc1nc2ccccc2s1)c1cccnc1,2.94,1
123,COc1ccc2nc(NC(=O)c3cccnc3)sc2c1,2.95,1
124,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
125,OCc1nnc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)s1,4.61,0
126,OCc1noc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)n1,4.14,0
127,N#CC1(c2ccc(S(F)(F)(F)(F)F)cc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,4.74,0
128,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
129,CCCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,5.57,0
130,COc1ccc2nc(NC(=O)c3ccc(OCc4ccccc4)cc3)sc2c1,5.14,0
131,COc1ccc2nc(NC(=O)c3ccc(N=[N+]=[N-])cc3)sc2c1,4.5,0
132,COc1ccc2nc(NC(=O)c3ccc(C(=O)NCc4ccccc4)cc3)sc2c1,4.49,0
133,O=C(Nc1nc2ccccc2s1)c1cccnc1,2.94,1
134,COc1ccc(C(=O)Nc2nc3cc(N)ccc3s2)cc1,3.14,0
135,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,4.3,0
136,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
137,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
138,COc1ccc2nc(NC(=O)c3ccc(N)cc3)sc2c1,3.14,0
139,COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,3.57,0
140,O=C(Nc1nc2ccccc2s1)c1ccc(-c2ccccc2)cc1,5.22,0
141,Cc1cccc(C(=O)Nc2nc3ccccc3s2)c1,3.86,0
142,COc1ccc(C(=O)Nc2nc3cc(N)ccc3s2)cc1,3.14,0
143,C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
144,COc1cc2sc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)nc2cc1Br,5.55,0
145,COc1ccc2nc(NC(=O)c3ccc(C(N)c4ccccc4)cc3)sc2c1,4.61,0
146,Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,4.15,0
147,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,4.9,0
148,COc1ccc(-c2nc3ccc(NCc4cccc(F)c4)nc3n(CCNC(C)=O)c2=O)cc1,3.35,0
149,CCOC(=O)NCCn1c(=O)c(-c2ccc(OC)cc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)nc21,4.53,0
150,COc1ccc(-c2nc3ccc(NCc4ccc(C)c(C)c4)cc3n(CCNC(C)=O)c2=O)cc1,4.44,0
151,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(Cl)c4)nc3n(CCNC(C)=O)c2=O)cc1,4.52,0
152,COc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,3.97,0
153,COc1ccc(-c2nc3ccc(NCc4ccccc4Cl)nc3n(CCNC(C)=O)c2=O)cc1,3.87,0
154,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4Cl)cc3)[nH]c2c1,4.95,0
155,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,3.81,0
156,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2cc(F)ccc2O3)nn1,2.93,1
157,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nc(Cc5cccnc5)n[nH]4)nn3)CC1)O2,4.63,0
158,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,2.8,1
159,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2cccc(F)c2O3)nn1,2.93,1
160,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,3.72,0
161,COc1ccc2nc(NC(=O)c3ccc([C@@H](N)c4ccccc4)cc3)sc2c1,4.61,0
162,O=C(Nc1nccs1)c1ccc(C(=O)c2ccccc2)cc1,3.63,0
163,COc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
164,COc1ccc2nc(NC(=O)c3ccc(C(=O)N4CCN(C)CC4)cc3)sc2c1,2.94,1
165,Cc1cccc(C(=O)Nc2nc3ccccc3s2)c1,3.86,0
166,C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,4.79,0
167,NC(=O)c1cnc(N2CCN(S(=O)(=O)c3ccccc3C(F)(F)F)CC2)s1,1.77,1
168,NC(=O)c1cnc(N2CCN(Cc3ccccc3C(F)(F)F)CC2)s1,2.58,1
169,NC(=O)c1nc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)no1,2.24,1
170,Cc1nnc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)s1,5.04,0
171,FC(F)(F)c1ccccc1OC1CCN(c2ncc(-c3ncon3)s2)CC1,4.26,0
172,COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.4,0
173,CN(C)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.44,0
174,CC(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.33,0
175,CS(=O)(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,3.75,0
176,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,4.61,0
177,COc1ccc2nc(NC(=O)c3ccc(Nc4ccccc4)cc3)sc2c1,5.3,0
178,COc1ccc2nc(NC(=O)c3ccc(C(=O)NCc4ccccc4)cc3)sc2c1,4.49,0
179,COc1ccc2nc(NC(=O)c3ccc(C(O)c4ccccn4)cc3)sc2c1,4.03,0
180,COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,3.57,0
181,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc(C(=O)c2ccccc2)cc1,5.29,0
182,C#CCNC(=O)c1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,2.92,1
183,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCNc4ccccc4O3)CC2)nn1,3.17,0
184,O=C(Nc1nc(CCCO)c(CCO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.49,0
185,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,4.52,0
186,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)nc2)n1,4.02,0
187,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cn2)n1,4.02,0
188,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cc2)n1,4.62,0
189,O=C(Nc1ccncc1)c1ccc(COc2ccccc2Cl)cc1,4.57,0
