index,smiles,pChEMBL Value,Effective
0,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.52,1
1,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.52,1
2,CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,10.4,1
3,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,10.3,1
4,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,10.3,1
5,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.22,1
6,Clc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.22,1
7,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCc4ccccc4O3)CC2)nn1,10.17,1
8,Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10,1
9,COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.7,1
10,Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.7,1
11,Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.52,1
12,COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.52,1
13,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,9.35,1
14,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,9.32,1
15,OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,9.3,1
16,O=C(CO)NCCN1C(=O)COc2ccc(NCc3ccc(Cl)c(Cl)c3)cc21,9.3,1
17,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)Oc2ccccc2CC3O)nn1,9.25,1
18,COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,9.22,1
19,COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,9.22,1
20,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(=O)c2ccccc2O3)nn1,9.16,1
21,Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.15,1
22,Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.15,1
23,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.1,1
24,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.1,1
25,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(Cl)cccc4O3)CC2)nn1,9,1
26,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nc(Cc5cccnc5)n[nH]4)nn3)CC1)O2,9,1
27,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,9,1
28,OCc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,9,1
29,c1cncc(Cc2nnc(-c3ccc(N4CCC5(CCc6ccccc6O5)CC4)nn3)o2)c1,9,1
30,COc1ccc(C(=O)Nc2ncc(Cc3cc(Cl)cc(Cl)c3)s2)cc1OCCO,9,1
31,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)s2)n1,9,1
32,Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9,1
33,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)s2)n1,9,1
34,COc1ccc(C(=O)Nc2ncc(Cc3ccc(Cl)c(Cl)c3)s2)cc1OCCO,9,1
35,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(Br)cccc5O4)CC3)s2)n1,9,1
36,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)no2)n1,9,1
37,Clc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9,1
38,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(cccc5C(F)(F)F)O4)CC3)s2)n1,9,1
39,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(Br)cccc5O4)CC3)no2)n1,9,1
40,Cc1cccc2c1CCC1(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC1)O2,9,1
41,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(cccc5C(F)(F)F)O4)CC3)s2)n1,9,1
42,Cc1cccc2c1CCC1(CCN(c3ncc(-c4nnn(CC(=O)O)n4)s3)CC1)O2,9,1
43,OCc1nsc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)n1,8.92,1
44,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)ccc(F)c4O3)CC2)nn1,8.7,1
45,Cc1csc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)n1,8.7,1
46,Cc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,8.7,1
47,CCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,8.7,1
48,COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(Cl)c3)s2)cc1OCCO,8.7,1
49,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(Cl)cccc4O3)CC2)nn1,8.7,1
50,OCc1noc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)n1,8.64,1
51,OCc1nnc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)s1,8.6,1
52,O=C(CO)NCCn1c(=O)c(C(F)(F)F)nc2ccc(NCc3cccc(C(F)(F)F)c3)cc21,8.57,1
53,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCc4ccccc4O3)CC2)nn1,8.57,1
54,COc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,8.55,1
55,O=C(Nc1ncc(CO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.55,1
56,COc1ccc(C(=O)Nc2ncc(Cc3cc(F)cc(F)c3)s2)cc1OCCO,8.54,1
57,COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,8.52,1
58,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,8.52,1
59,O=C(Nc1ccc(Cl)cc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,8.52,1
60,CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,8.52,1
61,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)cc1,8.52,1
62,OCc1cn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,8.52,1
63,COc1ccc(/C=C/C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1,8.52,1
64,COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,8.52,1
65,O=C(O)Cn1ccn(-c2cnc(N3CCC4(CCc5c(Cl)cccc5O4)CC3)s2)c1=O,8.52,1
66,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(Cl)cccc5O4)CC3)s2)n1,8.52,1
67,COc1ccc(-c2nc3ccc(NCc4ccc(F)c(C)c4)cc3n(CCNC(C)=O)c2=O)cc1,8.51,1
68,CCc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,8.49,1
69,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CO)cs2)cc1,8.49,1
70,COc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,8.48,1
71,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.42,1
72,O=C(Nc1ncc(CCO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.42,1
73,O=C(Nc1nc(CCO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)s1,8.41,1
74,COc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,8.4,1
75,COc1ccc(C(=O)Nc2ncc(Cc3cccc(OC(F)(F)F)c3)s2)cc1OCCO,8.4,1
76,c1cncc(Cc2nnc(-c3ccc(N4CCC5(CCc6ccccc6O5)CC4)nn3)o2)c1,8.4,1
77,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nc(Cc5cccnc5)n[nH]4)nn3)CC1)O2,8.4,1
78,COc1ccc(C(=O)Nc2ncc(Cc3cccc(Cl)c3)s2)cc1OCCO,8.4,1
79,c1ccc(Cc2nnc(-c3ccc(N4CCC5(CCc6ccccc6O5)CC4)nn3)o2)nc1,8.4,1
80,CCN(CC)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,8.4,1
81,Cc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,8.4,1
82,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)cc2)n1,8.39,1
83,O=C(Nc1nc(CCO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.38,1
84,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2Cl)cc1,8.37,1
85,CCCCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,8.35,1
86,CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)s1,8.35,1
87,OCc1nnc(-c2ccc(N3CCC(c4ccc(C(F)(F)F)cc4)(C(F)(F)F)CC3)nn2)o1,8.33,1
88,CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,8.32,1
89,CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,8.32,1
90,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,8.3,1
91,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccc(F)cc3)nn2)CC1,8.3,1
92,O=C(Nc1nc(CO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)s1,8.29,1
93,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)cc2)n1,8.29,1
94,O=C(Nc1nc(CCCO)cs1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.28,1
95,CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)cc1,8.28,1
96,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,8.26,1
97,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cc3ccccc3)cc2)n1,8.26,1
98,COc1ccc(-c2nc3cnc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,8.25,1
99,Cc1cccc2c1CCC1(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC1)O2,8.22,1
100,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3cccc(F)c3)nn2)CC1,8.22,1
101,CNC(=O)c1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,8.22,1
102,OCc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,8.22,1
103,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)cccc4O3)CC2)nn1,8.22,1
104,Cc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)s1,8.22,1
105,Fc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,8.22,1
106,Cn1cc(-c2ccc(N3CCC(n4nc(Cl)c5ccccc54)CC3)nn2)cn1,8.22,1
107,c1ccc2c(c1)CCC1(CCN(c3ccc(-c4nnc(Cc5ccncc5)o4)nn3)CC1)O2,8.22,1
108,Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)CO)c1=O,8.21,1
109,O=C(O)CCc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)cc2)n1,8.2,1
110,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cc2)n1,8.19,1
111,O=C(Nc1nc(CCO)cs1)c1ccc(CNc2ccccc2Cl)cc1,8.19,1
112,COc1ccc(-c2nc3ccc(NCc4cc(C(F)(F)F)ccn4)cc3n(CCNC(C)=O)c2=O)cc1,8.19,1
113,OCc1noc(-c2ccc(N3CCC4(COc5ccccc54)C3)nn2)n1,8.19,1
114,CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,8.17,1
115,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)ccc(F)c4O3)CC2)nn1,8.15,1
116,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(F)cccc4O3)CC2)nn1,8.15,1
117,O=C(O)c1cncc(-c2ccc(N3CCC(Oc4cc(F)ccc4Br)CC3)nn2)c1,8.15,1
118,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccsc3)nn2)CC1,8.15,1
119,NC(=O)c1nnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)s1,8.15,1
120,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,8.15,1
121,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccccc3)nn2)CC1,8.15,1
122,c1ccc2c(c1)CCC1(CCN(c3ccc(-c4nnc(Cc5ccncc5)o4)nn3)CC1)O2,8.15,1
123,COc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)nc1,8.15,1
124,OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,8.15,1
125,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cc3ccccc3)s2)n1,8.12,1
126,OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,8.1,1
127,Cc1nc(N2CCN(CCCc3ccccc3)C2=O)sc1C(=O)NCc1cccnc1,8.1,1
128,COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,8.1,1
129,COc1ccc(C(=O)Nc2nnc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,8.1,1
130,Cn1cc(-c2ccc(N3CCC(n4ncc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,8.1,1
131,COCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,8.1,1
132,COc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,8.1,1
133,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,8.1,1
134,OCc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,8.1,1
135,Cc1nc(-n2cnn(Cc3ccc(C(F)(F)F)o3)c2=O)sc1C(=O)NCc1cccnc1,8.1,1
136,O=C(Nc1ncc(C(=O)O)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,8.09,1
137,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(Cl)c4)cc3n(CCNC(C)=O)c2=O)cc1,8.07,1
138,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(Cl)c4)cc3n(CCNC(C)=O)c2=O)cc1,8.07,1
139,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3-c3ccccc3)cc2)n1,8.06,1
140,CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,8.06,1
141,CCCc1ccccc1NCc1ccc(C(=O)Nc2nc(C)cs2)cc1,8.05,1
142,c1ccc(Cc2nnc(-c3ccc(N4CCC5(CCc6ccccc6O5)CC4)nn3)o2)nc1,8.05,1
143,COc1ccc(C(=O)Nc2ncc(Cc3cccc(Cl)c3)s2)cc1OCCO,8.05,1
144,COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(F)c3)s2)cc1OCCO,8.05,1
145,CCOc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,8.05,1
146,Cn1cc(-c2ccc(N3CCC(n4ncc5ccc(F)cc54)CC3)nn2)cn1,8.05,1
147,O=C(O)Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)s2)n1,8.05,1
148,Cc1cn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,8.05,1
149,O=C(NCCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,8.05,1
150,COc1ccc2cc(C(=O)Nc3ncc(Cc4cccc(C(F)(F)F)c4)s3)ccc2c1,8.05,1
151,Cc1nc(-n2cnn(CCOc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cccnc1,8.05,1
152,Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1nccs1,8.05,1
153,Cc1cnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)s1,8.05,1
154,O=C(Nc1nc2ccccc2s1)c1ccc(C(=O)c2ccccc2)cc1,8.05,1
155,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccc(O)cc3s2)cc1,8.05,1
156,Cc1csc(NC(=O)c2ccc(CNc3ccccc3Cl)cc2)n1,8.04,1
157,N#CC1(c2ccc(S(F)(F)(F)(F)F)cc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,8.02,1
158,Cc1ccc(-c2nc3cnc(NCc4cccc(C(F)(F)F)c4)nc3n(CCC(N)=O)c2=O)cc1,8.02,1
159,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C(F)(F)F)s2)n1,8.01,1
160,O=C(NCc1cccnc1)Nc1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,8,1
161,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3OC(F)(F)F)CC2)nn1,8,1
162,O=C(NCCCC1CC1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,8,1
163,COc1cc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)ccc1OCCO,8,1
164,NC(=O)c1cnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)s1,8,1
165,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CC2)CCN(CC2CC2)c2ccccc2O3)nn1,8,1
166,Cc1nc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)NCc1cccnc1,8,1
167,COc1ccc(C(=O)Nc2ncc(Cc3cccc(F)c3)s2)cc1OCCO,7.96,1
168,CC(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,7.96,1
169,COc1ncc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,7.96,1
170,Cc1ccc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,7.96,1
171,Cc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,7.96,1
172,OCCc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,7.96,1
173,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3cccc(F)c3)nn2)CC1,7.96,1
174,N#CC1(c2ccc(OC(F)(F)F)cc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,7.96,1
175,Cc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,7.96,1
176,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,7.96,1
177,CNC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,7.96,1
178,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(Cl)cccc5O4)CC3)no2)n1,7.96,1
179,COc1ccc2nc(NC(=O)c3ccc([C@H](N)c4ccccc4)cc3)sc2c1,7.96,1
180,N[C@H](c1ccccc1)c1ccc(C(=O)Nc2nc3ccccc3s2)cc1,7.96,1
181,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(N2CCOCC2)c(OCCO)c1,7.92,1
182,OCCn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,7.92,1
183,Cc1cnc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)s1,7.92,1
184,Cc1nc(-n2ccc(OCCC3CC3)cc2=O)sc1C(=O)NCc1ccccc1,7.92,1
185,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(F)ccc3C(F)(F)F)CC2)nn1,7.92,1
186,CNC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,7.92,1
